InvoiceID,VendorID,VendorName,Country,VendorCurrency,InvoiceDate,DueDate,PaymentDate,InvoiceAmount,InvoiceCurrency,Status,PaymentID,ActualPaymentDate,PaymentAmount,PaymentCurrency,DaysToPay,IsOverdue,OutstandingAmount
1015,17,SafeRoute Transport,UK,GBP,2023-02-10,2023-03-12,2023-03-20,1120.0,GBP,Paid Late,P011,2023-03-20,1120.0,GBP,38.0,0,0
1016,18,UltraClean Hygiene,UK,GBP,2023-02-12,2023-03-13,2023-03-10,275.0,GBP,Paid,P012,2023-03-10,275.0,GBP,26.0,0,0
1017,19,DataCore Cloud Services,UK,GBP,2023-02-14,2023-03-15,,680.0,GBP,Unpaid,,,,,,1,680.0
1018,20,MetroCatering Supplies,UK,GBP,2023-02-16,2023-03-02,2023-03-01,540.0,GBP,Paid,P013,2023-03-01,540.0,GBP,13.0,0,0
1019,1,CleanPro Services,UK,GBP,2023-02-18,2023-03-20,2023-03-25,195.0,GBP,Paid Late,P014,2023-03-25,195.0,GBP,35.0,0,0
1020,3,TechFix IT Support,UK,GBP,2023-02-20,2023-03-22,,720.0,GBP,Unpaid,,,,,,1,720.0
1021,2,FreshFoods Wholesale,UK,GBP,2023-02-22,2023-03-08,2023-03-07,1580.0,GBP,Paid,P015,2023-03-07,1580.0,GBP,13.0,0,0
1022,5,EuroLogistics Transport,DE,EUR,2023-02-25,2023-03-27,2023-04-05,1120.0,EUR,Paid Late,P016,2023-04-05,1120.0,EUR,39.0,0,0
1023,7,SecureGuard Maintenance,UK,GBP,2023-02-27,2023-04-28,,3800.0,GBP,Unpaid,,,,,,1,3800.0
1024,4,OfficeHub Supplies,UK,GBP,2023-03-01,2023-04-15,2023-04-20,295.0,GBP,Paid Late,P017,2023-04-20,295.0,GBP,50.0,0,0
1025,6,LinenPro Solutions,UK,GBP,2023-03-03,2023-04-02,2023-04-01,480.0,GBP,Paid,P018,2023-04-01,480.0,GBP,29.0,0,0
1026,8,GreenLeaf Waste Management,UK,GBP,2023-03-05,2023-04-04,,820.0,GBP,Overdue,,,,,,1,820.0
1027,10,BlueWave Marketing,UK,GBP,2023-03-07,2023-04-06,2023-04-10,1320.0,GBP,Paid Late,P019,2023-04-10,1320.0,GBP,34.0,0,0
1028,11,PrimeBeverage Distribution,UK,GBP,2023-03-10,2023-03-24,2023-03-23,410.0,GBP,Paid,P020,2023-03-23,410.0,GBP,13.0,0,0
1029,12,NorthStar Consulting,UK,GBP,2023-03-12,2023-04-11,,2250.0,GBP,Unpaid,,,,,,1,2250.0
1030,14,EuroFresh Produce,NL,EUR,2023-03-14,2023-03-28,2023-04-02,910.0,EUR,Paid Late,P021,2023-04-02,910.0,EUR,19.0,0,0
1031,15,FixRight Electrical,UK,GBP,2023-03-16,2023-04-15,2023-04-14,160.0,GBP,Paid,P022,2023-04-14,160.0,GBP,29.0,0,0
1032,16,PrintWorks Media,UK,GBP,2023-03-18,2023-04-17,,350.0,GBP,Unpaid,,,,,,1,350.0
1033,17,SafeRoute Transport,UK,GBP,2023-03-20,2023-04-19,2023-04-25,1180.0,GBP,Paid Late,P023,2023-04-25,1180.0,GBP,36.0,0,0
1034,18,UltraClean Hygiene,UK,GBP,2023-03-22,2023-04-21,2023-04-20,290.0,GBP,Paid,P024,2023-04-20,290.0,GBP,29.0,0,0
1035,19,DataCore Cloud Services,UK,GBP,2023-03-24,2023-04-23,,720.0,GBP,Unpaid,,,,,,1,720.0
1036,20,MetroCatering Supplies,UK,GBP,2023-03-26,2023-04-09,2023-04-08,560.0,GBP,Paid,P025,2023-04-08,560.0,GBP,13.0,0,0
1037,1,CleanPro Services,UK,GBP,2023-03-28,2023-04-27,2023-05-02,205.0,GBP,Paid Late,P026,2023-05-02,205.0,GBP,35.0,0,0
1038,3,TechFix IT Support,UK,GBP,2023-03-30,2023-04-29,,750.0,GBP,Unpaid,,,,,,1,750.0
1039,2,FreshFoods Wholesale,UK,GBP,2023-04-01,2023-04-15,2023-04-14,1620.0,GBP,Paid,P027,2023-04-14,1620.0,GBP,13.0,0,0
1040,5,EuroLogistics Transport,DE,EUR,2023-04-03,2023-05-03,2023-05-12,1180.0,EUR,Paid Late,P028,2023-05-12,1180.0,EUR,39.0,0,0
1041,7,SecureGuard Maintenance,UK,GBP,2023-04-05,2023-06-04,,3950.0,GBP,Unpaid,,,,,,1,3950.0
1042,4,OfficeHub Supplies,UK,GBP,2023-04-07,2023-05-21,2023-05-25,310.0,GBP,Paid Late,P029,2023-05-25,310.0,GBP,48.0,0,0
1043,6,LinenPro Solutions,UK,GBP,2023-04-09,2023-05-09,2023-05-08,495.0,GBP,Paid,P030,2023-05-08,495.0,GBP,29.0,0,0
1044,8,GreenLeaf Waste Management,UK,GBP,2023-04-11,2023-05-11,,840.0,GBP,Overdue,,,,,,1,840.0
1045,10,BlueWave Marketing,UK,GBP,2023-04-13,2023-05-13,2023-05-17,1380.0,GBP,Paid Late,P031,2023-05-17,1380.0,GBP,34.0,0,0
1050,11,PrimeBeverage Distribution,UK,GBP,2023-04-15,2023-04-29,2023-04-28,430.0,GBP,Paid,P032,2023-04-28,430.0,GBP,13.0,0,0
1051,12,NorthStar Consulting,UK,GBP,2023-04-17,2023-05-17,,2350.0,GBP,Unpaid,,,,,,1,2350.0
1052,14,EuroFresh Produce,NL,EUR,2023-04-19,2023-05-03,2023-05-10,940.0,EUR,Paid Late,P033,2023-05-10,940.0,EUR,21.0,0,0
1053,15,FixRight Electrical,UK,GBP,2023-04-21,2023-05-21,2023-05-20,175.0,GBP,Paid,P034,2023-05-20,175.0,GBP,29.0,0,0
1054,16,PrintWorks Media,UK,GBP,2023-04-23,2023-05-23,,360.0,GBP,Unpaid,,,,,,1,360.0
1055,17,SafeRoute Transport,UK,GBP,2023-04-25,2023-05-25,2023-06-01,1220.0,GBP,Paid Late,P035,2023-06-01,1220.0,GBP,37.0,0,0
1056,18,UltraClean Hygiene,UK,GBP,2023-04-27,2023-05-27,2023-05-26,305.0,GBP,Paid,P036,2023-05-26,305.0,GBP,29.0,0,0
1057,19,DataCore Cloud Services,UK,GBP,2023-04-29,2023-05-29,,740.0,GBP,Unpaid,,,,,,1,740.0
1058,20,MetroCatering Supplies,UK,GBP,2023-05-01,2023-05-15,2023-05-14,580.0,GBP,Paid,P037,2023-05-14,580.0,GBP,13.0,0,0
1059,1,CleanPro Services,UK,GBP,2023-05-03,2023-06-02,2023-06-07,215.0,GBP,Paid Late,P038,2023-06-07,215.0,GBP,35.0,0,0
1060,3,TechFix IT Support,UK,GBP,2023-05-05,2023-06-04,,780.0,GBP,Unpaid,,,,,,1,780.0
1061,2,FreshFoods Wholesale,UK,GBP,2023-05-07,2023-05-21,2023-05-20,1650.0,GBP,Paid,P039,2023-05-20,1650.0,GBP,13.0,0,0
1062,5,EuroLogistics Transport,DE,EUR,2023-05-09,2023-06-08,2023-06-18,1220.0,EUR,Paid Late,P040,2023-06-18,1220.0,EUR,40.0,0,0
1063,7,SecureGuard Maintenance,UK,GBP,2023-05-11,2023-07-10,,4100.0,GBP,Unpaid,,,,,,1,4100.0
1064,4,OfficeHub Supplies,UK,GBP,2023-05-13,2023-06-27,2023-06-30,330.0,GBP,Paid Late,P041,2023-06-30,330.0,GBP,48.0,0,0
1065,6,LinenPro Solutions,UK,GBP,2023-05-15,2023-06-14,2023-06-13,510.0,GBP,Paid,P042,2023-06-13,510.0,GBP,29.0,0,0
1066,8,GreenLeaf Waste Management,UK,GBP,2023-05-17,2023-06-16,,860.0,GBP,Overdue,,,,,,1,860.0
1067,10,BlueWave Marketing,UK,GBP,2023-05-19,2023-06-18,2023-06-22,1420.0,GBP,Paid Late,P043,2023-06-22,1420.0,GBP,34.0,0,0
1068,11,PrimeBeverage Distribution,UK,GBP,2023-05-21,2023-06-04,2023-06-03,445.0,GBP,Paid,P044,2023-06-03,445.0,GBP,13.0,0,0
1069,12,NorthStar Consulting,UK,GBP,2023-05-23,2023-06-22,,2400.0,GBP,Unpaid,,,,,,1,2400.0
1070,14,EuroFresh Produce,NL,EUR,2023-05-25,2023-06-08,2023-06-15,960.0,EUR,Paid Late,P045,2023-06-15,960.0,EUR,21.0,0,0
1071,15,FixRight Electrical,UK,GBP,2023-05-27,2023-06-26,2023-06-25,185.0,GBP,Paid,P046,2023-06-25,185.0,GBP,29.0,0,0
1072,16,PrintWorks Media,UK,GBP,2023-05-29,2023-06-28,,380.0,GBP,Unpaid,,,,,,1,380.0
1073,17,SafeRoute Transport,UK,GBP,2023-05-31,2023-06-30,2023-07-05,1260.0,GBP,Paid Late,P047,2023-07-05,1260.0,GBP,35.0,0,0
1074,18,UltraClean Hygiene,UK,GBP,2023-06-02,2023-07-02,2023-07-01,315.0,GBP,Paid,P048,2023-07-01,315.0,GBP,29.0,0,0
1075,19,DataCore Cloud Services,UK,GBP,2023-06-04,2023-07-04,,760.0,GBP,Unpaid,,,,,,1,760.0
1076,20,MetroCatering Supplies,UK,GBP,2023-06-06,2023-06-20,2023-06-19,600.0,GBP,Paid,P049,2023-06-19,600.0,GBP,13.0,0,0
1077,1,CleanPro Services,UK,GBP,2023-06-08,2023-07-08,2023-07-12,225.0,GBP,Paid Late,P050,2023-07-12,225.0,GBP,34.0,0,0
1078,3,TechFix IT Support,UK,GBP,2023-06-10,2023-07-10,,810.0,GBP,Unpaid,P051,,810.0,GBP,,1,810.0
1079,2,FreshFoods Wholesale,UK,GBP,2023-06-12,2023-06-26,2023-06-25,1680.0,GBP,Paid,P052,2023-06-25,1680.0,GBP,13.0,0,0
1080,5,EuroLogistics Transport,DE,EUR,2023-06-14,2023-07-14,2023-07-22,1280.0,EUR,Paid Late,P053,2023-07-22,1280.0,EUR,38.0,0,0
1081,7,SecureGuard Maintenance,UK,GBP,2023-06-16,2023-08-15,,4250.0,GBP,Unpaid,,,,,,1,4250.0
1082,4,OfficeHub Supplies,UK,GBP,2023-06-18,2023-08-02,2023-08-05,345.0,GBP,Paid Late,P054,2023-08-05,345.0,GBP,48.0,0,0
1083,6,LinenPro Solutions,UK,GBP,2023-06-20,2023-07-20,2023-07-19,525.0,GBP,Paid,P055,2023-07-19,525.0,GBP,29.0,0,0
1084,8,GreenLeaf Waste Management,UK,GBP,2023-06-22,2023-07-22,,880.0,GBP,Overdue,,,,,,1,880.0
1085,10,BlueWave Marketing,UK,GBP,2023-06-24,2023-07-24,2023-07-28,1480.0,GBP,Paid Late,P056,2023-07-28,1480.0,GBP,34.0,0,0
1086,11,PrimeBeverage Distribution,UK,GBP,2023-06-26,2023-07-10,2023-07-09,460.0,GBP,Paid,P057,2023-07-09,460.0,GBP,13.0,0,0
1087,12,NorthStar Consulting,UK,GBP,2023-06-28,2023-07-28,,2480.0,GBP,Unpaid,,,,,,1,2480.0
1088,14,EuroFresh Produce,NL,EUR,2023-06-30,2023-07-14,2023-07-20,990.0,EUR,Paid Late,P058,2023-07-20,990.0,EUR,20.0,0,0
1089,15,FixRight Electrical,UK,GBP,2023-07-02,2023-08-01,2023-07-31,195.0,GBP,Paid,P059,2023-07-31,195.0,GBP,29.0,0,0
1090,16,PrintWorks Media,UK,GBP,2023-07-04,2023-08-03,,395.0,GBP,Unpaid,,,,,,1,395.0
1091,17,SafeRoute Transport,UK,GBP,2023-07-06,2023-08-05,2023-08-10,1320.0,GBP,Paid Late,P060,2023-08-10,1320.0,GBP,35.0,0,0
1092,18,UltraClean Hygiene,UK,GBP,2023-07-08,2023-08-07,2023-08-06,330.0,GBP,Paid,P061,2023-08-06,330.0,GBP,29.0,0,0
1093,19,DataCore Cloud Services,UK,GBP,2023-07-10,2023-08-09,,780.0,GBP,Unpaid,,,,,,1,780.0
1094,20,MetroCatering Supplies,UK,GBP,2023-07-12,2023-07-26,2023-07-25,620.0,GBP,Paid,P062,2023-08-25,620.0,GBP,13.0,0,0
1095,1,CleanPro Services,UK,GBP,2023-07-14,2023-08-13,2023-08-17,235.0,GBP,Paid Late,P063,2023-08-17,235.0,GBP,34.0,0,0
1100,3,TechFix IT Support,UK,GBP,2023-07-16,2023-08-15,,840.0,GBP,Unpaid,P064,,840.0,GBP,,1,840.0
1101,2,FreshFoods Wholesale,UK,GBP,2023-07-18,2023-08-01,2023-07-31,1700.0,GBP,Paid,P065,2023-07-31,1700.0,GBP,13.0,0,0
1102,5,EuroLogistics Transport,DE,EUR,2023-07-20,2023-08-19,2023-08-27,1320.0,EUR,Paid Late,P066,2023-08-27,1320.0,EUR,38.0,0,0
1103,7,SecureGuard Maintenance,UK,GBP,2023-07-22,2023-09-20,,4380.0,GBP,Unpaid,,,,,,1,4380.0
1104,4,OfficeHub Supplies,UK,GBP,2023-07-24,2023-09-07,2023-09-10,360.0,GBP,Paid Late,P067,2023-09-10,360.0,GBP,48.0,0,0
1105,6,LinenPro Solutions,UK,GBP,2023-07-26,2023-08-25,2023-08-24,540.0,GBP,Paid,P068,2023-08-24,540.0,GBP,29.0,0,0
1106,8,GreenLeaf Waste Management,UK,GBP,2023-07-28,2023-08-27,,900.0,GBP,Overdue,,,,,,1,900.0
1107,10,BlueWave Marketing,UK,GBP,2023-07-30,2023-08-29,2023-09-02,1520.0,GBP,Paid Late,P069,2023-09-02,1520.0,GBP,34.0,0,0
1108,11,PrimeBeverage Distribution,UK,GBP,2023-08-01,2023-08-15,2023-08-14,475.0,GBP,Paid,P070,2023-08-14,475.0,GBP,13.0,0,0
1109,12,NorthStar Consulting,UK,GBP,2023-08-03,2023-09-02,,2550.0,GBP,Unpaid,,,,,,1,2550.0
1110,14,EuroFresh Produce,NL,EUR,2023-08-05,2023-08-19,2023-08-26,1020.0,EUR,Paid Late,P071,2023-08-26,1020.0,EUR,21.0,0,0
1111,15,FixRight Electrical,UK,GBP,2023-08-07,2023-09-06,2023-09-05,205.0,GBP,Paid,P072,2023-09-05,205.0,GBP,29.0,0,0
1112,16,PrintWorks Media,UK,GBP,2023-08-09,2023-09-08,,410.0,GBP,Unpaid,,,,,,1,410.0
1113,17,SafeRoute Transport,UK,GBP,2023-08-11,2023-09-10,2023-09-15,1380.0,GBP,Paid Late,P073,2023-09-15,1380.0,GBP,35.0,0,0
1114,18,UltraClean Hygiene,UK,GBP,2023-08-13,2023-09-12,2023-09-11,345.0,GBP,Paid,P074,2023-09-11,345.0,GBP,29.0,0,0
1115,19,DataCore Cloud Services,UK,GBP,2023-08-15,2023-09-14,,800.0,GBP,Unpaid,,,,,,1,800.0
1116,20,MetroCatering Supplies,UK,GBP,2023-08-17,2023-08-31,2023-08-30,640.0,GBP,Paid,P075,2023-10-05,660.0,GBP,13.0,0,0
1117,1,CleanPro Services,UK,GBP,2023-08-19,2023-09-18,2023-09-22,245.0,GBP,Paid Late,P076,2023-09-22,245.0,GBP,34.0,0,0
1118,3,TechFix IT Support,UK,GBP,2023-08-21,2023-09-20,,870.0,GBP,Unpaid,,,,,,1,870.0
1119,2,FreshFoods Wholesale,UK,GBP,2023-08-23,2023-09-06,2023-09-05,1720.0,GBP,Paid,P077,2023-09-05,1720.0,GBP,13.0,0,0
1120,5,EuroLogistics Transport,DE,EUR,2023-08-25,2023-09-24,2023-10-02,1380.0,EUR,Paid Late,P078,2023-10-02,1380.0,EUR,38.0,0,0
1121,7,SecureGuard Maintenance,UK,GBP,2023-08-27,2023-10-26,,4520.0,GBP,Unpaid,,,,,,1,4520.0
1122,4,OfficeHub Supplies,UK,GBP,2023-08-29,2023-10-13,2023-10-16,375.0,GBP,Paid Late,P079,2023-10-16,375.0,GBP,48.0,0,0
1123,6,LinenPro Solutions,UK,GBP,2023-08-31,2023-09-30,2023-09-29,560.0,GBP,Paid,P080,2023-09-29,560.0,GBP,29.0,0,0
1124,8,GreenLeaf Waste Management,UK,GBP,2023-09-02,2023-10-02,,920.0,GBP,Overdue,,,,,,1,920.0
1125,10,BlueWave Marketing,UK,GBP,2023-09-04,2023-10-04,2023-10-08,1580.0,GBP,Paid Late,P081,2023-10-08,1580.0,GBP,34.0,0,0
1126,11,PrimeBeverage Distribution,UK,GBP,2023-09-06,2023-09-20,2023-09-19,490.0,GBP,Paid,P082,2023-09-19,490.0,GBP,13.0,0,0
1127,12,NorthStar Consulting,UK,GBP,2023-09-08,2023-10-08,,2620.0,GBP,Unpaid,,,,,,1,2620.0
1128,14,EuroFresh Produce,NL,EUR,2023-09-10,2023-09-24,2023-10-01,1050.0,EUR,Paid Late,P083,2023-10-01,1050.0,EUR,21.0,0,0
1129,15,FixRight Electrical,UK,GBP,2023-09-12,2023-10-12,2023-10-11,215.0,GBP,Paid,P084,2023-10-11,215.0,GBP,29.0,0,0
1130,16,PrintWorks Media,UK,GBP,2023-09-14,2023-10-14,,430.0,GBP,Unpaid,,,,,,1,430.0
1131,17,SafeRoute Transport,UK,GBP,2023-09-16,2023-10-16,2023-10-21,1420.0,GBP,Paid Late,P085,2023-10-21,1420.0,GBP,35.0,0,0
1132,18,UltraClean Hygiene,UK,GBP,2023-09-18,2023-10-18,2023-10-17,360.0,GBP,Paid,P086,2023-10-17,360.0,GBP,29.0,0,0
1133,19,DataCore Cloud Services,UK,GBP,2023-09-20,2023-10-20,,820.0,GBP,Unpaid,,,,,,1,820.0
1134,20,MetroCatering Supplies,UK,GBP,2023-09-22,2023-10-06,2023-10-05,660.0,GBP,Paid,P087,2023-10-05,660.0,GBP,13.0,0,0
1135,1,CleanPro Services,UK,GBP,2023-09-24,2023-10-24,2023-10-28,255.0,GBP,Paid Late,P088,2023-10-28,255.0,GBP,34.0,0,0
1136,3,TechFix IT Support,UK,GBP,2023-09-26,2023-10-26,,900.0,GBP,Unpaid,,,,,,1,900.0
1137,2,FreshFoods Wholesale,UK,GBP,2023-09-28,2023-10-12,2023-10-11,1750.0,GBP,Paid,P089,2023-10-11,1750.0,GBP,13.0,0,0
1138,5,EuroLogistics Transport,DE,EUR,2023-09-30,2023-10-30,2023-11-07,1420.0,EUR,Paid Late,P090,2023-11-07,1420.0,EUR,38.0,0,0
1139,7,SecureGuard Maintenance,UK,GBP,2023-10-02,2023-12-01,,4680.0,GBP,Unpaid,,,,,,1,4680.0
1140,4,OfficeHub Supplies,UK,GBP,2023-10-04,2023-11-18,2023-11-21,390.0,GBP,Paid Late,P091,2023-11-21,390.0,GBP,48.0,0,0
1141,6,LinenPro Solutions,UK,GBP,2023-10-06,2023-11-05,2023-11-04,580.0,GBP,Paid,P092,2023-11-04,580.0,GBP,29.0,0,0
1142,8,GreenLeaf Waste Management,UK,GBP,2023-10-08,2023-11-07,,940.0,GBP,Overdue,,,,,,1,940.0
1143,10,BlueWave Marketing,UK,GBP,2023-10-10,2023-11-09,2023-11-13,1620.0,GBP,Paid Late,P093,2023-11-13,1620.0,GBP,34.0,0,0
1144,11,PrimeBeverage Distribution,UK,GBP,2023-10-12,2023-10-26,2023-10-25,505.0,GBP,Paid,P094,2023-10-25,505.0,GBP,13.0,0,0
1145,12,NorthStar Consulting,UK,GBP,2023-10-14,2023-11-13,,2700.0,GBP,Unpaid,,,,,,1,2700.0
1150,14,EuroFresh Produce,NL,EUR,2023-10-16,2023-10-30,2023-11-06,1080.0,EUR,Paid Late,P095,2023-11-06,1080.0,EUR,21.0,0,0
1151,15,FixRight Electrical,UK,GBP,2023-10-18,2023-11-17,2023-11-16,225.0,GBP,Paid,P096,2023-11-16,225.0,GBP,29.0,0,0
1152,16,PrintWorks Media,UK,GBP,2023-10-20,2023-11-19,,450.0,GBP,Unpaid,,,,,,1,450.0
1153,17,SafeRoute Transport,UK,GBP,2023-10-22,2023-11-21,2023-11-26,1460.0,GBP,Paid Late,P097,2023-11-26,1460.0,GBP,35.0,0,0
1154,18,UltraClean Hygiene,UK,GBP,2023-10-24,2023-11-23,2023-11-22,375.0,GBP,Paid,P098,2023-11-22,375.0,GBP,29.0,0,0
1155,19,DataCore Cloud Services,UK,GBP,2023-10-26,2023-11-25,,840.0,GBP,Unpaid,,,,,,1,840.0
1156,20,MetroCatering Supplies,UK,GBP,2023-10-28,2023-11-11,2023-11-10,680.0,GBP,Paid,P099,2023-11-10,680.0,GBP,13.0,0,0
1157,1,CleanPro Services,UK,GBP,2023-10-30,2023-11-29,2023-12-03,265.0,GBP,Paid Late,P100,2023-12-03,265.0,GBP,34.0,0,0
1158,3,TechFix IT Support,UK,GBP,2023-11-01,2023-12-01,,930.0,GBP,Unpaid,P101,,930.0,GBP,,1,930.0
1159,2,FreshFoods Wholesale,UK,GBP,2023-11-03,2023-11-17,2023-11-16,1780.0,GBP,Paid,P102,2023-11-16,1780.0,GBP,13.0,0,0
1160,5,EuroLogistics Transport,DE,EUR,2023-11-05,2023-12-05,2023-12-13,1480.0,EUR,Paid Late,P103,2023-12-13,1480.0,EUR,38.0,0,0
1161,7,SecureGuard Maintenance,UK,GBP,2023-11-07,2024-01-06,,4820.0,GBP,Unpaid,,,,,,1,4820.0
1162,4,OfficeHub Supplies,UK,GBP,2023-11-09,2023-12-24,2023-12-27,405.0,GBP,Paid Late,P104,2023-12-27,405.0,GBP,48.0,0,0
1163,6,LinenPro Solutions,UK,GBP,2023-11-11,2023-12-11,2023-12-10,595.0,GBP,Paid,P105,2023-12-10,595.0,GBP,29.0,0,0
1164,8,GreenLeaf Waste Management,UK,GBP,2023-11-13,2023-12-13,,960.0,GBP,Overdue,,,,,,1,960.0
1165,10,BlueWave Marketing,UK,GBP,2023-11-15,2023-12-15,2023-12-19,1680.0,GBP,Paid Late,P106,2023-12-19,1680.0,GBP,34.0,0,0
1166,11,PrimeBeverage Distribution,UK,GBP,2023-11-17,2023-12-01,2023-11-30,520.0,GBP,Paid,P107,2023-11-30,520.0,GBP,13.0,0,0
1167,12,NorthStar Consulting,UK,GBP,2023-11-19,2023-12-19,,2780.0,GBP,Unpaid,,,,,,1,2780.0
1168,14,EuroFresh Produce,NL,EUR,2023-11-21,2023-12-05,2023-12-12,1120.0,EUR,Paid Late,P108,2023-12-12,1120.0,EUR,21.0,0,0
1169,15,FixRight Electrical,UK,GBP,2023-11-23,2023-12-23,2023-12-22,235.0,GBP,Paid,P109,2023-12-22,235.0,GBP,29.0,0,0
1170,16,PrintWorks Media,UK,GBP,2023-11-25,2023-12-25,,470.0,GBP,Unpaid,,,,,,1,470.0
1171,17,SafeRoute Transport,UK,GBP,2023-11-27,2023-12-27,2023-12-31,1500.0,GBP,Paid Late,P110,2023-12-31,1500.0,GBP,34.0,0,0
1172,18,UltraClean Hygiene,UK,GBP,2023-11-29,2023-12-29,2023-12-28,390.0,GBP,Paid,P111,2023-12-28,390.0,GBP,29.0,0,0
1173,19,DataCore Cloud Services,UK,GBP,2023-12-01,2023-12-31,,860.0,GBP,Unpaid,,,,,,1,860.0
1174,20,MetroCatering Supplies,UK,GBP,2023-12-03,2023-12-17,2023-12-16,700.0,GBP,Paid,P112,2023-12-16,700.0,GBP,13.0,0,0
1175,1,CleanPro Services,UK,GBP,2023-12-05,2024-01-04,2024-01-08,275.0,GBP,Paid Late,P113,2024-01-08,275.0,GBP,34.0,0,0
1176,3,TechFix IT Support,UK,GBP,2023-12-07,2024-01-06,,960.0,GBP,Unpaid,,,,,,1,960.0
1177,2,FreshFoods Wholesale,UK,GBP,2023-12-09,2023-12-23,2023-12-22,1820.0,GBP,Paid,P114,2023-12-22,1820.0,GBP,13.0,0,0
1178,5,EuroLogistics Transport,DE,EUR,2023-12-11,2024-01-10,2024-01-18,1520.0,EUR,Paid Late,P115,2024-01-18,1520.0,EUR,38.0,0,0
1179,7,SecureGuard Maintenance,UK,GBP,2023-12-13,2024-02-11,,4980.0,GBP,Unpaid,,,,,,1,4980.0
1180,4,OfficeHub Supplies,UK,GBP,2023-12-15,2024-01-29,2024-02-01,420.0,GBP,Paid Late,P116,2024-02-01,420.0,GBP,48.0,0,0
1181,6,LinenPro Solutions,UK,GBP,2023-12-17,2024-01-16,2024-01-15,610.0,GBP,Paid,P117,2024-01-15,610.0,GBP,29.0,0,0
1182,8,GreenLeaf Waste Management,UK,GBP,2023-12-19,2024-01-18,,980.0,GBP,Overdue,,,,,,1,980.0
1183,10,BlueWave Marketing,UK,GBP,2023-12-21,2024-01-20,2024-01-24,1720.0,GBP,Paid Late,P118,2024-01-24,1720.0,GBP,34.0,0,0
1184,11,PrimeBeverage Distribution,UK,GBP,2023-12-23,2024-01-06,2024-01-05,540.0,GBP,Paid,P119,2024-01-05,540.0,GBP,13.0,0,0
1185,12,NorthStar Consulting,UK,GBP,2023-12-25,2024-01-24,,2850.0,GBP,Unpaid,,,,,,1,2850.0
1186,14,EuroFresh Produce,NL,EUR,2023-12-27,2024-01-10,2024-01-17,1150.0,EUR,Paid Late,P120,2024-01-17,1150.0,EUR,21.0,0,0
1187,15,FixRight Electrical,UK,GBP,2023-12-29,2024-01-28,2024-01-27,245.0,GBP,Paid,P121,2024-01-27,245.0,GBP,29.0,0,0
1188,16,PrintWorks Media,UK,GBP,2023-12-31,2024-01-30,,490.0,GBP,Unpaid,,,,,,1,490.0
1189,17,SafeRoute Transport,UK,GBP,2024-01-02,2024-02-01,2024-02-05,1540.0,GBP,Paid Late,P122,2024-02-05,1540.0,GBP,34.0,0,0
1190,18,UltraClean Hygiene,UK,GBP,2024-01-04,2024-02-03,2024-02-02,405.0,GBP,Paid,P123,2024-02-02,405.0,GBP,29.0,0,0
1191,19,DataCore Cloud Services,UK,GBP,2024-01-06,2024-02-05,,880.0,GBP,Unpaid,,,,,,1,880.0
